,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Região do crânio trauma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Casos pós-crânio trauma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deformações crânio-facial,, patologias crânio,,,,,,,,,,Pós-crânio patologias,,,,,,,,,,,,,,,,,,,,,
Autor e ano,País,Região,Sítio,longitude (m),,latitude (m),,Elevação(m),População/Cultura,Cronologia,Data_absoluta B.P,,cal yr Sim - 1 ou não - 0,,sexo,,,faixa de Idade,,,,,Média de estatura (cm),Violência (o ou1),N_total_id,N_id_afetados,N_id_antimortem,N_ferimentos Antimortem,N_id_perimortem,N_ferimentos Peri-mortem,Anti_Peri,Tr_anterior_ caso,,,,,,,,Tr_posterior_casos,,,,,,,,,,,,,,,,,,,,,,Cabeça troféu,,,,,N_Total_póscrânio,N_afetados,Costela,Vértebras,,,Tórax,Membros superiores,,,,,,,Membros inferiores,,,,Tipo de fratura,,,Forma da fratura,,,,Tipo de Arma,,Tipo de Evento,,,,,,,Nutricionais,,,Infecciosas,,Congênitas,Ambientais,,Dentes,,,nutricionais,,infecciosas,,Congênitas,Ambientais,,,,,,,Cultura material,Iconografia_V,Petrografia_V,Ev_Fortificação,Sítio Agrupado,Org_sociopolítica,Pad_Assentamento,Clima,Carc_Geografica,Estrg_subsistencia
,,,,Leste,Oeste,Norte,Sul,,,,De,Até,,Lab,M,F,Nid,Adultos,Jovem Adulto,Sub-adultos,Senil,Nid,,,,,,,,,,Total_anterior,Antimortem_anterior,Perimortem_anterior,Nasal,Maxilar,Boca_mandibula,Frontal,Sutura_frontozigomática,Total_posterior,Antimortem_posterior,Perimortem_posterior,Occipital,Pariental total,Parietal E,Pariental D,Pterion,Total_Lateral,Antimortem_Lateral,Perimortem_Lateral,Lateral E,Lateral D,Zigomático,Processo_Zigomático D,Processo_Zigomático_E,Temporal total,Temporal E,Temporal D,Tr_superior,Antimortem_superior,Perimortem_superior,presença,N_Cabeça troféu,N_cabeça troféu com trauma,N_id_antimortem,N_id_Perimortem,,,,Lombares,Toráxicas,Cervicais,,Total,Glenoid,húmero,radio,ulna,Acetabulo,escápula,Femur,Tíbia,Fíbula,,Depressiva,Perfurante,Cortante,Circular,,Flecha_Projétil,Lâmina,Corpo,Exten_corpo,Agressão interpessoal,Rading_invasão,guerra,canibalismo,Ritual,Acidental/Laboral,Achatamento (qt de individuos),Total_Patologias,cribia orbitaria,Hiperostosis porotica,periostiti,osteomielite,,,Exostóse_ouvido,Caries,Hipoplasia linear,Reabsorção aveolar,cribia orbitaria,Hiperostosis porótica,periostiti,osteomeliti,Fusão nas vertebras,,Osteoporose,Exostose,Osteofitose,Espodilose,Osteoartrite,Padr.Funerário,,,,,,,,,,
Benyon and Siegel 1981,Peru,South Peru_Paracas,Santo Domingo Pampa,365028.44 ,,,8467514.42,17,NID,Arcaico,8340,6220,0,,1,0,0,1,0,0,0,0,163.13,0,2,0,0,,0,,,0,,,0,0,0,0,0,0,,,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,,0,0,0,,0,,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,8,0,0,0,0,0,0,0,1,,2,0,0,0,,1,,2,1,1,,,,,,,0,,,,Desértico,costa,
Standen et al 2020,Chile,,"Arica - Acha3 C4, Acha3 C1",360360.00,,,7955939.00,,Chinchorro,Arcaico/Inicial,10000,8000,1,,1,0,0,1,0,0,0,0,,1,4,2,2,,0,,,1,,,,,,,,0,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,0,0,,0,0,0,,0,,,,,,,,,,,,,,1,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,Tribo,aldeia,Desértico,costa,pesca-caça-coleta
Standen et al 2020,Chile,,Arica - Morro/Praia Miller,360360.00,,,7955939.00,,Chinchorro,Arcaico/Médio,8000,6000,1,,1,0,0,1,0,0,0,0,,1,12,3,2,,1,,,3,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,0,0,,0,0,0,,0,,,,,,,,,,,,,,1,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,dardos de arremesso ou atlatl,,,0,,Tribo,aldeia,Desértico,costa,pesca-caça-coleta
Standen et al 2020,Chile,,Arica,360360.00,,,7955939.00,,Chinchorro,Arcaico/Tardío,6000,4000,1,,1,0,0,1,0,0,0,0,,1,63,20,18,,2,,,NA,,,,,,,,NA,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,0,,,,3,0,,0,0,0,,0,,,,,,,,,,,,,,1,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,"Pontas líticas, harpões",,,0,,Tribo,aldeia,Desértico,costa,pesca-caça-coleta
Standen et al 2020,Chile,,Arica,360360.00,,,7955939.00,,Chinchorro,Arcaico/Tardío,6000,4000,1,,0,1,0,1,0,0,0,0,,1,57,11,11,,0,,,NA,,,,,,,,NA,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,0,,,,0,0,,0,0,0,,0,,,,,,,,,,,,,,1,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,Tribo,aldeia,Desértico,costa,pesca-caça-coleta
Cocilovo et al 2005,Chile,Foz do Rio loa,Caleta Huelén 42,391421.00,,,7630523.00,,Relacionada a Chinchorro,Arcaico/Tardío,4780,3780,0,,1,0,0,1,0,0,0,0,,1,11,1,1,,0,,,1,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,0,1,,0,0,0,,1,,,,,,,,,,,,,,1,,0,0,0,,,7,1,0,0,2,,,,,,,0,0,2,2,,,,,,,,,azóis de cactus e concha,,,0,,Tribo,aldeia,Desértico,costa,pesca-caça-coleta
Cocilovo et al 2005,Chile,Foz do Rio loa,Caleta Huelén 42,391421.00,,,7630523.00,,Relacionada a Chinchorro,Arcaico/Tardío,4780,3780,0,,0,1,0,1,0,0,0,0,,1,22,0,0,,0,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,0,0,,0,0,0,,0,,,,,,,,,,,,,,0,,0,0,0,,,3,1,1,0,0,,,,,,,0,0,1,0,,,,,,,,,azóis de cactus e concha,,,0,,Tribo,aldeia,Desértico,costa,pesca-caça-coleta
Standen and Santoro 2004,Chile,Vale de Azapa ,Acha-3,365553.71,,,7954602.00,95,Relacionada a Chinchorro,Arcaico,9000,8000,0,NA,1,0,0,1,0,0,0,0,,1,2,1,1,,0,,,1,,,1,1,0,0,0,0,,,0,1,1,0,0,1,,,,,0,0,0,0,0,0,,,,,,,,,,,1,1,0,0,0,0,,0,0,0,,0,,,,,1,0,,0,,0,0,0,0,1,,0,0,0,1,,5,0,1,0,0,0,0,1,,,,0,0,2,0,1,0,,,,,,,"azóis de osso, fibra vegetal, lasca de quartizo, corda de couro de camelídeo",,,0,,Tribo,aldeia,Desértico,costa,pesca-caça-coleta
Standen et al 2010,Chile,Vale de Azapa ,AZ - 146,375393.00 ,,,7951291.00,, NID,Formativo Tardio,2740,1930,1,Beta Analytic,1,0,0,1,0,0,0,0,,1,3,3,0,,3,,,3,,,,,,,,0,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,0,,,,0,1,,1,0,0,,0,,,,,,,,,,,,,,1,,0,0,0,,,0,0,0,0,0,,,,,,,0,0,0,0,,,,,,,,,maça ou porrete,,,0,,Tribo,,Desértico,vale,agricultura de pequena escala
Torres-Rouff and King 2014,Chile,San Pedro de Atacama,San Pedro de Atacama,575922.00 ,,,7452929.00 ,2450,Atacamenhos,Horizonte Médio,1550,950,0,,1,0,0,1,0,0,0,0,,1,199,46,38,,0,,,38,,,38,,0,0,,0,,,0,,0,0,,0,,,,,0,,,0,,,,,,,,,,,,,0,,,,0,0,,0,0,0,,0,,,,,,,,,,,,,,1,,0,0,0,,,0,0,0,0,0,,,,,,,0,0,0,0,,,,,,,,,,,,0,,Tribo,,Desértico,Oases,
Torres-Rouff and King 2014,Chile,San Pedro de Atacama,San Pedro de Atacama,575922.00 ,,,7452929.00 ,2450,Atacamenhos,Horizonte Médio,1550,950,0,,0,1,0,1,0,0,0,0,,1,194,23,19,,0,,,19,,,19,,0,0,,0,,,0,,0,0,,0,,,,,0,,,0,,,,,,,,,,,,,0,,,,0,0,,0,0,0,,0,,,,,,,,,,,,,,1,,0,0,0,,,0,0,0,0,0,,,,,,,0,0,0,0,,,,,,,,,,,,0,,Tribo,,Desértico,Oases,agricultura de pequena escala
Lessa e Mendoza de Souza 2006,Chile,San Pedro de Atacama,Coyo Oriente,578613.59,,,7462916.16,2450,Atacamenhos,Horizonte Médio/Periodo Tiwanaku,1430,70,1,Beta Analytic,1,0,0,1,0,0,0,0,,1,125,15,15,,0,,,15,,,13,,0,2,,0,,,0,,0,0,,0,,,,,0,,,0,,,,,,,,,,,,,0,,,,0,0,,0,0,0,,0,,,,,,,,,,,,,,1,,0,0,1,,,0,0,0,0,0,,,,,,,0,0,0,0,,,,,,,,,,,,0,,Tribo,,Desértico,Oases,agricultura de pequena escala
Lessa e Mendoza de Souza 2006,Chile,San Pedro de Atacama,Coyo Oriente,578613.59,,,7462916.16,2450,Atacamenhos,Horizonte Médio/Periodo Tiwanaku,1430,70,1,Beta Analytic,0,1,0,1,0,0,0,0,,1,101,10,10,,0,,,9,,,5,,0,4,,0,,,0,,0,0,,0,,,,,1,,,0,,,,,,,,,,,,,0,,,,0,0,,0,0,0,,0,,,,,,,,,,,,,,1,,0,0,1,,,0,0,0,0,0,,,,,,,0,0,0,0,,,,,,,,,,,,0,,Tribo,,Desértico,Oases,agricultura de pequena escala
Torres-Rouff e Costa 2006,Chile,San Pedro de Atacama,Toconal oriente,575922.00 ,,,7452929.00 ,2450,Atacamenhos,Periodo intermpedio inicial,2150,1350,0,NA,1,0,0,1,0,0,0,0,,1,60,1,1,,0,,,0,,,0,,0,0,,0,,,0,,1,0,,1,,,,,0,,,0,,,,,,,,,,,,,0,,,,0,0,,0,0,0,,0,,,,,,,,,,,,,,1,,0,0,0,,,0,0,0,0,0,,,,,,,0,0,0,0,,,,,,,,,,,,0,,Tribo,permanente,Desértico,Oases,agricultura de pequena escala
Torres-Rouff e Costa 2006,Chile,San Pedro de Atacama,Coyo 3_Yaye_Quitor6_Catarpe4_5,575922.00 ,,,7452929.00 ,2450,Atacamenhos,PIT,950,550,0,NA,1,0,0,1,0,0,0,0,,1,128,34,34,,2,,,22,,,17,,0,5,,0,,,0,16,11,5,,17,,,,,0,,,1,1,0,,,,,,,,,,,0,,,,0,0,,0,0,0,,0,,,,,,,,,,,,,,1,,0,0,0,,,0,0,0,0,0,,,,,,,0,0,0,0,,,,,,,,,,,,1,,,,Desértico,Oases,agricultura de pequena escala
Torres-Rouff e Costa 2006,Chile,San Pedro de Atacama,Coyo 3_Yaye_Quitor6_Catarpe4_5,575922.00 ,,,7452929.00 ,2450,Atacamenhos,PIT,950,550,0,NA,0,1,0,0,0,0,0,0,,1,99,31,31,,0,,,21,,,18,,0,3,,0,,,0,20,10,10,,21,,,,,0,,,1,0,1,,,,,,,,,,,0,,,,0,0,,0,0,0,,0,,,,,,,,,,,,,,1,,0,0,0,,,0,0,0,0,0,,,,,,,0,0,0,0,,,,,,,,,,,,1,,,,Desértico,Oases,agricultura de pequena escala
Torres-Rouff e Costa 2006,Chile,San Pedro de Atacama,Coyo 3_Yaye_Quitor6_Catarpe4_5,575922.00 ,,,7452929.00 ,2450,Atacamenhos,PIT,950,550,0,NA,0,0,1,0,0,1,0,0,,1,22,1,1,,0,,,0,,,0,,0,0,,0,,,0,0,0,0,,0,,,,,0,,,0,0,0,,,,,,,,,,,0,,,,0,0,,0,0,0,,0,,,,,,,,,,,,,,1,,0,0,0,,,0,0,0,0,0,,,,,,,0,0,0,0,,,,,,,,,,,,1,,,,Desértico,Oases,agricultura de pequena escala
Torres-Rouff e Costa 2006,Chile,San Pedro de Atacama,Catarpe1_2,575922.00 ,,,7452929.00 ,2450,Atacamenhos,HT,550,418,0,NA,1,0,0,1,0,0,0,0,,1,143,5,5,,0,,,4,,,2,,0,2,,0,,,0,2,1,1,,2,,,,,0,,,0,0,0,,,,,,,,,,,0,,,,0,0,,0,0,0,,0,,,,,,,,,,,,,,1,,0,0,0,,,0,0,0,0,0,,,,,,,0,0,0,0,,,,,,,,,,,,0,,,,Desértico,Oases,agricultura de pequena escala
Torres-Rouff e Costa 2006,Chile,San Pedro de Atacama,Catarpe1_2,575922.00 ,,,7452929.00 ,2450,Atacamenhos,HT,550,418,0,NA,0,1,0,1,0,0,0,0,,1,63,2,2,,0,,,1,,,1,,0,0,,0,,,0,0,0,0,,1,,,,,0,,,0,0,1,,,,,,,,,,,0,,,,0,0,,0,0,0,,0,,,,,,,,,,,,,,1,,0,0,0,,,0,0,0,0,0,,,,,,,0,0,0,0,,,,,,,,,,,,0,,,,Desértico,Oases,agricultura de pequena escala
Pacheco e Retemal 2017,Chile,Tarapacá,Pica 8,463186.00,,,7733608.00,1395,Tarapacá phase,PIT,1050,670,0,NA,1,0,0,1,0,0,0,0,,1,29,4,4,,0,,,5,,,3,,0,2,,0,,,0,0,0,0,,0,,,,,0,,,0,0,0,,,,,,,,,,,1,,,,0,0,,0,0,0,,0,,,,,,,,,,1,0,1,1,1,,0,0,0,,,0,0,0,0,0,,,,,,,0,0,0,0,,,,,,,,,Evidência de flecha embebida em uma costela de 1 individuo,,,1,,,,Desértico,Oases,
Pacheco e Retemal 2017,Chile,Tarapacá,Pica 8,463186.00,,,7733608.00,1395,Tarapacá phase,PIT,1050,670,0,NA,0,1,0,0,0,0,0,0,,1,38,2,2,,0,,,1,,,0,,0,1,1,0,,,0,0,0,0,1,1,,,,,1,1,,0,0,0,,,,,,,,,,,0,,,,0,0,,0,0,0,,0,,,,,2,1,,1,,0,0,1,1,1,,0,0,0,,,0,0,0,0,0,,,,,,,0,0,0,0,,,,,,,,,,,,1,,,,Desértico,Oases,
Standen and Santoro 2004,Chile,Vale de Azapa ,Acha-3,365553.71,,,7954602.00,95,Vinculado a Chinchorro,Arcaico,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tung 2007 e Tung 2012,Peru,Ayacucho,Conchopata,579248.86,,,8545412.33,2839,Pré-Wari Huarpa,PIP,1700,1350,0,NA,1,0,0,1,0,0,0,0,,1,1,1,1,,0,,,0,,,0,0,0,0,0,0,,,0,0,0,0,0,1,,,,,1,0,1,0,0,0,,,,,,,,,,,0,0,0,0,0,0,,0,0,0,,0,,,,,0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,,,,,0,1,,,Frio de Montanha,Vale,
Tung 2007 e Tung 2012,Peru,Ayacucho,Conchopata,579248.86,,,8545412.33,2839,Pré-Wari Huarpa,PIP,1700,1350,0,NA,0,1,0,0,0,0,1,0,,0,4,2,2,,0,,,0,,,0,0,0,0,0,0,,,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,,,,,,,9,,0,0,2,0,0,3,,0,2,1,,0,,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,1,0,2,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,1,,,,,0,1,,,Frio de Montanha,Vale,
Tung 2007 e Tung 2012,Peru,Ayacucho,Conchopata,579248.86,,,8545412.33,2839,Pré-Wari Huarpa,PIP,1700,1350,0,NA,0,0,1,1,0,0,0,0,,0,6,0,0,,0,,,0,,,0,0,0,0,0,0,,,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,,0,0,0,,0,,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,1,,,Frio de Montanha,Vale,
