Sample,Ayllu,Cemetery,Individual,Sex,Collagen yield (wt%),Apatite yield (wt%),wt% C,wt% N,"Atomic
 C:N","δ13Cco
 (‰)","δ15Nco
 (‰)","δ13Cap
 (‰)","Δ13Cap-co
 (‰)","C3
 mean",C3 sd,"C4/CAM
 mean","C4/ CAM
 sd",Bean mean,Bean sd,Terrestrial meat mean,Terrestrial meat sd
L160,Conde Duque,Casa Parroquial,"11, 418",,5.2,67.5,30.6,10.2,3.5,-11.8,12.2,-6.0,5.8,17.1%,11.5%,36.7%,15.3%,18.3%,10.5%,27.9%,15.9%
L167,Conde Duque,Casa Parroquial,"18, 418",M,17.3,56.7,42.0,15.0,3.3,-11.0,13.4,-6.4,4.6,23.5%,14.6%,39.0%,12.2%,11.4%,8.4%,26.1%,16.7%
L162,Conde Duque,Casa Parroquial,"19, 419",M,15.3,57.9,41.1,15.0,3.2,-12.5,12.1,-7.6,4.9,20.2%,11.6%,32.2%,15.5%,22.8%,12.0%,24.8%,16.1%
L161,Conde Duque,Casa Parroquial,"2, 414",,14.4,59.8,40.8,14.5,3.3,-13.7,11.4,-7.9,5.8,24.7%,14.8%,29.9%,11.2%,24.5%,13.7%,21.0%,14.5%
L163,Conde Duque,Casa Parroquial,"20, 420",F,14.2,59.7,40.2,14.4,3.3,-15.4,11.8,-9.4,6.1,25.6%,15.8%,16.1%,9.3%,32.1%,18.6%,26.2%,13.5%
L166,Conde Duque,Casa Parroquial,"22, 421",M,11.9,61.7,35.3,12.4,3.3,-13.7,11.2,-9.1,4.6,27.3%,15.4%,17.0%,10.1%,24.6%,13.1%,31.1%,11.7%
J74,Conde Duque,Casa Parroquial,Cuerpo 05,F,6.1,54.9,38.5,13.4,3.4,-13.6,11.7,-6.9,6.7,21.5%,12.7%,33.3%,14.7%,19.6%,11.5%,25.6%,15.3%
J75,Conde Duque,Casa Parroquial,Cuerpo 06,,12.4,55.6,42.7,15.5,3.2,-14.1,12.3,-8.2,5.9,29.7%,13.4%,30.0%,10.9%,17.6%,10.7%,22.8%,13.3%
J71,Conde Duque,Casa Parroquial,Cuerpo 08,F,13.9,67.5,41.6,15.1,3.2,-13.3,12.0,-6.7,6.7,19.3%,12.7%,33.5%,13.2%,21.3%,11.8%,25.9%,15.8%
J72,Conde Duque,Casa Parroquial,Cuerpo 09,,5.4,54.8,39.7,13.8,3.3,-14.7,12.6,-7.9,6.8,26.9%,14.8%,23.3%,13.2%,18.7%,11.7%,31.1%,14.7%
J73,Conde Duque,Casa Parroquial,Cuerpo 10,M,15.9,47.3,44.2,15.7,3.3,-12.8,13.5,-6.7,6.1,19.9%,13.5%,33.7%,12.6%,17.2%,10.8%,29.2%,13.9%
L80,Coyo,Coyo Oriente,3974,M,21.4,43.5,44.2,15.5,3.3,-12.3,11.3,-7.0,5.3,14.7%,11.0%,37.1%,9.6%,26.9%,12.8%,21.4%,13.7%
L93,Coyo,Coyo Oriente,3978,F,20.5,41.5,42.9,14.7,3.4,-14.0,11.7,-8.5,5.5,27.5%,14.8%,22.4%,10.3%,20.3%,13.4%,29.8%,13.5%
L88,Coyo,Coyo Oriente,3981,M,10.2,47.5,40.0,14.0,3.3,-14.0,11.4,-8.8,5.3,25.6%,14.2%,24.0%,10.0%,26.2%,12.8%,24.3%,14.6%
L90,Coyo,Coyo Oriente,3996,F,23.0,41.9,44.6,15.5,3.4,-15.4,10.5,-9.9,5.5,32.5%,19.4%,18.9%,8.8%,30.4%,18.3%,18.3%,10.3%
L81,Coyo,Coyo Oriente,4012,F,21.4,45.4,44.2,15.4,3.4,-15.3,10.9,-10.2,5.1,31.5%,18.2%,17.1%,9.2%,29.5%,15.3%,21.8%,12.8%
L92,Coyo,Coyo Oriente,4013,F,19.9,38.6,42.1,14.7,3.3,-13.4,11.6,-8.2,5.2,22.0%,12.6%,29.9%,11.5%,23.4%,13.3%,24.6%,14.8%
L87,Coyo,Coyo Oriente,4028,M,20.5,46.4,42.1,14.7,3.3,-14.2,10.9,-8.7,5.5,22.6%,13.4%,20.3%,10.7%,29.2%,14.1%,27.9%,13.5%
K18,Coyo,Coyo Oriente,4054,F,8.2,56.7,40.6,14.3,3.3,-14.4,11.6,-7.5,6.9,19.8%,15.5%,29.6%,13.5%,24.0%,14.3%,26.6%,14.6%
L83,Coyo,Coyo Oriente,4085,M,20.9,43.1,42.7,14.7,3.4,-14.8,11.8,-10.4,4.4,33.5%,15.7%,15.9%,10.2%,24.6%,15.6%,26.0%,12.6%
L79,Coyo,Coyo Oriente,4090,M,19.7,47.2,43.8,14.9,3.4,-14.3,11.1,-8.8,5.5,28.8%,14.9%,23.0%,12.7%,26.8%,14.3%,21.4%,12.7%
L96,Coyo,Coyo Oriente,4111,M,19.7,43.5,43.2,14.9,3.4,-13.4,11.2,-8.4,4.9,29.0%,14.6%,29.1%,11.8%,21.5%,12.8%,20.5%,12.7%
L94,Coyo,Coyo Oriente,4150,M,19.4,47.2,42.5,14.8,3.4,-13.3,11.7,-8.9,4.3,29.7%,15.6%,20.9%,10.5%,21.5%,13.4%,27.9%,14.4%
L95,Coyo,Coyo Oriente,4194,F,15.5,50.6,43.5,15.0,3.4,-15.2,11.8,-10.3,4.9,34.1%,17.8%,14.7%,8.8%,26.5%,15.3%,24.8%,13.5%
L86,Coyo,Coyo Oriente,5291,,22.6,41.9,41.6,14.7,3.3,-14.0,12.4,-8.8,5.2,34.4%,12.9%,23.6%,12.7%,18.8%,12.5%,23.3%,14.5%
L85,Coyo,Coyo Oriente,5340,F,22.8,43.9,43.2,15.1,3.3,-13.1,12.5,-7.5,5.6,28.7%,18.0%,27.4%,12.7%,19.0%,13.5%,25.0%,15.7%
L82,Coyo,Coyo Oriente,5344,F,16.3,37.6,42.3,14.5,3.4,-13.7,11.2,-8.7,5.0,28.7%,17.2%,24.9%,11.1%,24.6%,15.0%,21.8%,11.8%
L91,Coyo,Coyo Oriente,5373,M,18.5,45.3,44.3,15.4,3.4,-14.7,11.9,-10.1,4.5,38.1%,18.1%,13.9%,8.9%,21.4%,16.7%,26.7%,12.8%
L97,Coyo,Coyo Oriente,5375,F,19.6,41.3,42.4,14.8,3.3,-15.0,9.9,-9.5,5.5,25.3%,15.2%,20.0%,10.3%,30.9%,16.0%,23.8%,13.8%
L89,Coyo,Coyo Oriente,5377,F,21.6,45.2,45.4,15.2,3.5,-16.2,9.7,-10.8,5.4,36.2%,18.9%,13.4%,7.9%,33.4%,18.1%,17.0%,11.7%
L84,Coyo,Coyo Oriente,5383,M,21.4,40.7,42.3,14.5,3.4,-13.5,11.7,-8.8,4.8,23.0%,14.2%,23.0%,11.8%,26.8%,14.9%,27.2%,13.9%
H33,Coyo,Coyo 3,"13291, T16, #93",M,14.4,51.7,42.0,15.3,3.2,-11.1,14.5,-7.1,4.0,22.4%,13.4%,39.4%,13.9%,13.3%,10.4%,25.0%,18.2%
H31,Coyo,Coyo 3,"13298, T1, #89",,4.8,51.0,28.6,10.1,3.3,-11.5,12.9,-7.1,4.4,25.1%,15.3%,35.7%,11.8%,13.7%,10.4%,25.5%,16.6%
H38,Coyo,Coyo 3,"13304, T13, #91",F,9.7,45.7,36.1,13.3,3.2,-14.1,10.6,-9.3,4.8,32.5%,17.6%,19.3%,10.2%,25.8%,15.1%,22.4%,14.4%
H32,Coyo,Coyo 3,"13335, T21, #90",,16.9,43.3,42.3,15.5,3.2,-11.8,11.5,-6.4,5.4,17.1%,11.6%,34.2%,14.5%,21.1%,10.5%,27.6%,14.3%
H42,Coyo,Coyo 3,"13363, T23, #86",F,13.4,45.1,37.8,14.1,3.1,-12.4,11.6,-7.7,4.7,22.6%,15.2%,25.8%,11.3%,21.3%,13.4%,30.2%,13.3%
H34,Coyo,Coyo 3,"13608, T35, #94",M,8.9,60.4,38.3,13.8,3.2,-12.7,12.2,-9.0,3.7,34.2%,14.8%,22.6%,13.3%,17.1%,11.8%,26.2%,15.1%
H44,Coyo,Coyo 3,"13639, T36, #85",F,16.1,44.7,38.6,14.4,3.1,-14.4,11.1,-9.0,5.4,21.5%,14.9%,21.2%,9.4%,32.6%,14.4%,24.7%,14.6%
H37,Coyo,Coyo 3,"13688, T42, #87",M,1.5,59.6,14.7,5.0,3.4,-14.4,10.9,-9.7,4.7,30.9%,17.6%,18.2%,9.9%,25.1%,15.1%,25.9%,14.0%
H39,Coyo,Coyo 3,"13746, T46, #92",M,11.5,58.2,35.9,13.1,3.2,-12.9,12.9,-8.9,4.0,33.3%,15.9%,21.2%,10.3%,17.6%,11.8%,27.9%,13.8%
H41,Coyo,Coyo 3,"13794, T57, #84",M,2.4,51.3,15.3,5.1,3.5,-15.8,10.7,-10.0,5.8,29.8%,16.2%,14.2%,7.8%,30.1%,16.5%,25.9%,12.5%
k72,Coyo,Coyo Oriente,"3904 (11886), #313",M,18.1,40.9,45.1,16.1,3.3,-15.8,10.3,-9.9,5.9,32.5%,20.2%,13.5%,8.4%,32.4%,17.0%,21.7%,13.6%
G94,Coyo,Coyo Oriente,"3913 (12.059), #234",,15.5,50.2,42.9,15.6,3.2,-13.6,11.9,-8.3,5.3,30.7%,17.5%,23.3%,10.7%,22.2%,14.4%,23.8%,14.2%
I67,Coyo,Coyo Oriente,3948 (9.965),F,18.5,41.7,36.4,13.4,3.2,-15.7,10.7,-10.1,5.6,32.7%,17.5%,14.1%,9.9%,32.9%,16.9%,20.3%,13.2%
k71,Coyo,Coyo Oriente,"3956 (9987), #312",F,9.6,51.3,43.8,15.4,3.3,-15.0,10.9,-8.9,6.0,22.2%,15.3%,23.5%,10.3%,29.6%,15.0%,24.7%,13.2%
G99,Coyo,Coyo Oriente,"3957 (9.799), #241",M,13.8,54.3,35.5,13.0,3.2,-15.0,10.4,-9.7,5.3,27.2%,17.6%,19.2%,10.9%,30.8%,16.3%,22.9%,12.4%
G96,Coyo,Coyo Oriente,"3959 (9971), #260",F,16.0,54.9,38.8,14.2,3.2,-14.5,11.2,-9.8,4.7,31.1%,16.6%,15.8%,9.7%,23.8%,14.6%,29.3%,12.6%
k73,Coyo,Coyo Oriente,"3973 (11497), #314",,18.3,49.6,45.9,16.5,3.3,-12.9,11.9,-7.5,5.4,26.0%,14.2%,31.8%,13.6%,20.6%,13.9%,21.6%,13.5%
I75,Coyo,Coyo Oriente,3979 (13553),F,19.4,41.5,43.9,16.0,3.2,-14.5,11.4,-8.3,6.2,24.5%,14.4%,24.8%,13.1%,27.2%,14.3%,23.6%,16.9%
k74,Coyo,Coyo Oriente,"3984 (9791), #315",F,17.0,39.4,44.7,15.7,3.3,-13.9,11.4,-8.1,5.8,23.0%,13.5%,28.5%,12.9%,28.2%,15.1%,20.3%,15.9%
I71,Coyo,Coyo Oriente,4003 (9825),,2.5,61.4,37.1,12.6,3.4,-13.8,12.5,-7.7,6.1,19.4%,14.1%,34.5%,11.5%,24.2%,13.1%,21.9%,11.7%
I69,Coyo,Coyo Oriente,4005 (9836),F,20.1,45.9,43.7,15.6,3.3,-14.7,11.4,-8.4,6.3,25.2%,16.1%,28.1%,12.3%,26.3%,15.5%,20.5%,13.4%
I73,Coyo,Coyo Oriente,4011 (13598),M,12.4,35.0,43.2,15.3,3.3,-13.0,10.7,-7.8,5.3,17.5%,12.1%,36.7%,10.1%,26.6%,13.4%,19.1%,13.4%
k75,Coyo,Coyo Oriente,"4020 (9838), #316",M,13.7,42.1,45.3,15.6,3.4,-14.9,11.1,-9.7,5.1,27.1%,15.3%,20.9%,9.3%,31.5%,13.7%,20.5%,12.1%
I52,Coyo,Coyo Oriente,"4031 (9961), #255",F,23.9,17.6,38.8,14.2,3.2,-11.8,12.2,-7.3,4.5,20.7%,11.6%,36.1%,12.5%,17.9%,12.2%,25.4%,13.9%
I56,Coyo,Coyo Oriente,4046 (9.940),F,7.5,51.7,39.7,14.8,3.1,-14.5,12.0,-8.6,5.9,24.0%,16.8%,23.8%,12.0%,29.3%,16.3%,22.9%,14.7%
I66,Coyo,Coyo Oriente,4049 (9.870),M,19.0,74.0,40.8,15.1,3.1,-14.3,11.1,-9.1,5.2,29.5%,17.4%,20.1%,11.9%,27.6%,14.3%,22.7%,13.1%
I57,Coyo,Coyo Oriente,4052 (10.031),M,19.7,41.1,42.4,16.0,3.1,-15.3,10.9,-9.8,5.5,27.4%,16.6%,20.3%,10.3%,33.4%,16.0%,18.9%,9.6%
I59,Coyo,Coyo Oriente,4053 (9.828),F,9.8,54.0,37.9,13.6,3.2,-15.9,10.8,-10.2,5.6,26.6%,17.6%,13.3%,7.9%,34.7%,17.2%,25.4%,12.7%
I77,Coyo,Coyo Oriente,4054 (9872),F,4.9,51.6,42.7,14.5,3.4,-16.3,11.3,-8.5,7.9,27.8%,16.2%,20.8%,10.9%,25.3%,13.8%,26.1%,13.6%
k76,Coyo,Coyo Oriente,"4059 (11500), #317",,13.3,41.2,44.7,14.7,3.6,-15.6,10.8,-9.4,6.2,34.1%,18.8%,17.3%,8.6%,28.6%,16.8%,20.0%,13.5%
G103,Coyo,Coyo Oriente,"4060 (11.458), #271",M,11.5,57.8,34.4,12.6,3.2,-13.2,11.4,-8.0,5.2,19.2%,15.5%,29.5%,12.1%,24.9%,14.3%,26.4%,15.5%
k77,Coyo,Coyo Oriente,"4064 (9860), #318",M,16.4,28.4,44.4,15.8,3.3,-12.3,12.8,-7.3,5.0,17.8%,11.7%,36.4%,11.0%,19.6%,11.7%,26.2%,13.8%
I76,Coyo,Coyo Oriente,4065 (9991),F,20.1,48.2,29.1,10.4,3.3,-17.4,12.7,-11.6,5.7,42.8%,17.4%,10.2%,7.5%,26.2%,16.2%,20.8%,12.9%
I64,Coyo,Coyo Oriente,4067 (9.963),M,8.8,51.4,33.3,11.8,3.3,-15.4,10.5,-9.6,5.9,22.6%,15.1%,21.8%,10.2%,35.5%,17.8%,20.1%,14.7%
I53,Coyo,Coyo Oriente,"4069 (9986), #259",,8.3,41.1,26.4,9.4,3.3,-13.3,10.9,-8.3,5.1,24.9%,16.6%,27.0%,13.0%,23.3%,13.2%,24.8%,14.5%
k78,Coyo,Coyo Oriente,"4077 (9785), #319",F,14.7,45.7,44.6,15.8,3.3,-15.4,10.4,-9.9,5.4,36.8%,20.3%,14.6%,7.8%,28.1%,16.7%,20.5%,12.1%
G102,Coyo,Coyo Oriente,"4093 (10.041), #274",M,11.5,57.1,37.2,13.5,3.2,-13.0,12.1,-8.9,4.0,27.7%,15.4%,26.2%,10.6%,20.8%,12.9%,25.3%,14.8%
I61,Coyo,Coyo Oriente,4098 (9.937),M,20.5,31.1,43.5,16.7,3.0,-14.6,12.1,-9.0,5.6,31.0%,17.3%,22.8%,10.7%,24.7%,14.3%,21.5%,14.3%
G93,Coyo,Coyo Oriente,"4102 (9873), #245",M,19.6,51.1,42.6,15.5,3.2,-14.4,10.8,-9.4,5.0,27.1%,17.3%,20.7%,9.3%,30.0%,15.6%,22.2%,13.7%
k79,Coyo,Coyo Oriente,"4109 (9946), #320",M,14.0,45.0,45.5,16.0,3.3,-12.1,11.1,-6.3,5.8,23.3%,13.6%,38.7%,15.0%,17.0%,11.5%,21.0%,16.8%
G95,Coyo,Coyo Oriente,"4132 (9.787), #248",M,14.0,48.2,43.2,15.6,3.2,-14.2,11.3,-8.8,5.3,22.8%,13.6%,23.2%,10.3%,29.1%,16.0%,25.0%,12.6%
k81,Coyo,Coyo Oriente,"4151 (9790), #322",F,12.4,43.2,44.4,15.6,3.3,-13.4,12.1,-8.1,5.3,28.5%,14.6%,27.4%,13.8%,21.9%,13.3%,22.2%,16.7%
I68,Coyo,Coyo Oriente,4154 (9984),,4.4,46.9,43.7,15.3,3.3,-14.1,10.7,-6.5,7.6,19.2%,12.2%,38.0%,11.9%,21.0%,11.8%,21.8%,14.7%
k82,Coyo,Coyo Oriente,"4158 (9945), #323",,2.9,59.4,39.8,13.7,3.4,-16.9,10.3,-11.4,5.5,33.4%,17.9%,9.0%,6.7%,37.1%,19.7%,20.4%,11.5%
I54,Coyo,Coyo Oriente,"4163 (9871), #261",,15.2,42.5,34.3,12.4,3.2,-14.6,10.9,-10.0,4.6,33.6%,18.2%,17.8%,10.7%,26.0%,15.8%,22.6%,14.6%
I58,Coyo,Coyo Oriente,4164 (9.779),M,22.6,33.7,41.8,15.4,3.2,-14.7,16.1,-9.8,5.0,46.6%,17.8%,25.8%,11.8%,12.5%,9.8%,15.2%,8.9%
I63,Coyo,Coyo Oriente,4175 (9.974),F,18.8,40.4,39.6,15.3,3.0,-13.9,11.7,-7.9,6.0,24.0%,13.3%,20.6%,11.5%,24.2%,13.3%,31.2%,12.7%
I55,Coyo,Coyo Oriente,"4178 (12252), #254",F,22.1,27.5,36.6,13.3,3.2,-12.4,11.3,-7.8,4.7,15.6%,11.6%,37.4%,13.8%,26.6%,12.9%,20.4%,13.9%
G98,Coyo,Coyo Oriente,"4190 (12.2.43), #275",M,17.5,51.2,40.6,14.5,3.3,-13.1,12.1,-8.8,4.3,23.8%,15.4%,20.5%,10.1%,25.0%,14.3%,30.7%,13.6%
G97,Coyo,Coyo Oriente,"4193 (12247), #273",,14.8,56.7,40.4,14.7,3.2,-13.7,11.0,-8.5,5.3,21.7%,14.9%,24.8%,11.0%,26.9%,14.3%,26.7%,13.1%
I60,Coyo,Coyo Oriente,5300 (9.856),F,1.7,30.4,36.7,12.7,3.4,-14.5,11.5,-8.5,6.0,32.4%,16.2%,26.1%,10.0%,22.0%,13.8%,19.5%,12.4%
I51,Coyo,Coyo Oriente,"5308 (9845), #252",M,6.4,66.4,31.0,10.9,3.3,-10.6,12.7,-6.1,4.5,16.7%,12.8%,48.1%,11.6%,13.3%,10.1%,21.8%,14.7%
I72,Coyo,Coyo Oriente,5310 (10003),M,6.4,44.8,41.5,14.4,3.4,-14.1,11.6,-7.5,6.6,21.4%,14.1%,29.3%,12.5%,21.7%,11.7%,27.7%,14.3%
