Autor e ano;País;Região;Sítio;long_Leste(m);long_Oeste(m);Lat_Norte(m);Lat_Sul(m);Elevação(m);População/Cultura;Cronologia;Data_absBP inicial;Data_absBP final;Sexo;Faixa_Idade;N_id;N_id_afetados;N_id_antimortem;N_ferimentos Antimortem;N_id_perimortem;N_ferimentos Peri-mortem;Total_anterior;Antimortem_anterior;Perimortem_anterior;Nasal;Maxilar;Boca_mandibula;Frontal;Sutura_frontozigomática;Total_posterior;Antimortem_posterior;Perimortem_posterior;Occipital;Pariental total;Parietal E;Pariental D;Pterion;Total_Lateral;Antimortem_Lateral;Perimortem_Lateral;Lateral E;Lateral D;Zigomático;Processo_Zigomático D;Processo_Zigomático_E;Temporal total;Temporal E;Temporal D;Tr_superior;Antimortem_superior;Perimortem_superior;Cabeça troféu sim ou não;N_Cabeça troféu;N_cabeça troféu com trauma;N_cabeça troféu_antimortem;N_cabeça troféu_Perimortem;N_Total_póscrânio;N_afetados;Costela;Vert_Lombares;Vert_Toráxicas;Vert_Cervicais;Tórax;Total;Glenoid;húmero;radio;ulna;Acetabulo;escápula;Femur;Tíbia;Fíbula;Frat_Depressiva;Frat_Perfurante;Frat_Cortante;Frat_Circular;Flecha_Projétil;Arma_Lâmina;Arma_Corpo;Outro instrumento;Agressão interpessoal;Rading_invasão;guerra;canibalismo;Ritual;Acidental/Laboral;N_id_Deformações Achatamento;Total_Patologias;Nutri_cribia orbitaria;Nutri_Hiperostosis porotica;Infec_periostiti;Infec_osteomielite;Congênitas;Exostóse_ouvido;Dente_Caries;Dente_Hipoplasia linear;Dente_Reabsorção aveolar;Nutri_posCr_cribia orbitaria;Nutri_posCr_Hiperostosis porótica;Infec_posCr_periostiti;Infec_posCr_osteomeliti;Ev_Fortificação;Estr_sociopolítica;Pad_Assentamento;Clima;Carc_Geografica;Estrg_subsistencia
Benyon and Siegel 1981;Peru;South Peru_Paracas;Santo Domingo Pampa;365028.44 ;;;8467514.42;17;NID;ARC;8340;6220;M;4;2;0;0;;0;;0;;;0;0;0;0;0;0;;;0;0;0;0;0;0;;;;;0;0;0;0;0;0;;;;;;;;;;;0;0;0;0;0;0;;0;0;0;;0;;;;0;0;0;0;0;0;0;0;0;;0;0;0;0;1;8;0;0;0;0;0;0;1;;2;0;0;0;;0;;;Desértico;costa;
Standen et al 2020;Chile;Costa norte Chile;Arica - Acha3 C4, Acha3 C1;360360.00;;;7955939.00;;Chinchorro;ARC;10000;8000;M;4;4;2;2;;0;;1;;;;;;;;0;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1;;;;0;0;;0;0;0;;0;;;;;;;;;;;;1;;0;0;0;;;;;;;;;;;;;;;;;0;Tribo;aldeia;Desértico;costa;pesca-caça-coleta
Standen et al 2020;Chile;Costa norte Chile;Arica - Morro/Praia Miller;360360.00;;;7955939.00;;Chinchorro;ARC;8000;6000;M;4;12;3;2;;1;;3;;;;;;;;0;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;0;;;;0;0;;0;0;0;;0;;;;;;;;;;;;1;;0;0;0;;;;;;;;;;;;;;;;;0;Tribo;aldeia;Desértico;costa;pesca-caça-coleta
Standen et al 2020;Chile;Costa norte Chile;Arica;360360.00;;;7955939.00;;Chinchorro;ARC;6000;4000;M;4;63;20;18;;2;;0;;;;;;;;0;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;0;;;;3;0;;0;0;0;;0;;;;;;;;;;;;1;;0;0;0;;;;;;;;;;;;;;;;;0;Tribo;aldeia;Desértico;costa;pesca-caça-coleta
Standen et al 2020;Chile;Costa norte Chile;Arica;360360.00;;;7955939.00;;Chinchorro;ARC;6000;4000;F;4;57;11;11;;0;;0;;;;;;;;0;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;0;;;;0;0;;0;0;0;;0;;;;;;;;;;;;1;;0;0;0;;;;;;;;;;;;;;;;;0;Tribo;aldeia;Desértico;costa;pesca-caça-coleta
Cocilovo et al 2005;Chile;Foz do Rio loa;Caleta Huelén 42;391421.00;;;7630523.00;;Relacionada a Chinchorro;ARC;4780;3780;M;4;11;1;1;;0;;1;;;;;;;;0;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;0;;;;0;1;;0;0;0;;1;;;;;;;;;;;;1;;0;0;0;;;7;1;0;0;2;;;;;;0;0;2;2;0;Tribo;aldeia;Desértico;costa;pesca-caça-coleta
Cocilovo et al 2005;Chile;Foz do Rio loa;Caleta Huelén 42;391421.00;;;7630523.00;;Relacionada a Chinchorro;ARC;4780;3780;F;4;22;0;0;;0;;0;;;;;;;;0;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;0;;;;0;0;;0;0;0;;0;;;;;;;;;;;;0;;0;0;0;;;3;1;1;0;0;;;;;;0;0;1;0;0;Tribo;aldeia;Desértico;costa;pesca-caça-coleta
Standen and Santoro 2004;Chile;Vale de Azapa ;Acha-3;365553.71;;;7954602.00;95;Relacionada a Chinchorro;ARC;9000;8000;M;4;2;1;1;;0;;1;;;1;1;0;0;0;0;;;0;1;1;0;0;1;;;;;0;0;0;0;0;0;;;;;;;;;;;1;1;0;0;0;0;;0;0;0;;0;;;;1;0;;0;0;0;0;0;1;;0;0;0;1;;5;0;1;0;0;0;1;;;;0;0;2;0;0;Tribo;aldeia;Desértico;costa;pesca-caça-coleta
Standen et al 2010;Chile;Vale de Azapa ;AZ - 146;375393.00 ;;;7951291.00;; NID;FF;2740;1930;M;4;3;3;0;;3;;3;;;;;;;;0;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;0;;;;0;1;;1;0;0;;0;;;;;;;;;;;;1;;0;0;0;;;0;0;0;0;0;;;;;;0;0;0;0;0;Tribo;;Desértico;vale;agricultura de pequena escala
Torres-Rouff and King 2014;Chile;San Pedro de Atacama;San Pedro de Atacama;575922.00 ;;;7452929.00 ;2450;Atacamenhos;HM;1550;950;M;4;199;46;38;;0;;38;;;38;;0;0;;0;;;0;;0;0;;0;;;;;0;;;0;;;;;;;;;;;;;0;;;;0;0;;0;0;0;;0;;;;;;;;;;;;1;;0;0;0;;;0;0;0;0;0;;;;;;0;0;0;0;0;Tribo;;Desértico;Oases;
Torres-Rouff and King 2014;Chile;San Pedro de Atacama;San Pedro de Atacama;575922.00 ;;;7452929.00 ;2450;Atacamenhos;HM;1550;950;F;4;194;23;19;;0;;19;;;19;;0;0;;0;;;0;;0;0;;0;;;;;0;;;0;;;;;;;;;;;;;0;;;;0;0;;0;0;0;;0;;;;;;;;;;;;1;;0;0;0;;;0;0;0;0;0;;;;;;0;0;0;0;0;Tribo;;Desértico;Oases;agricultura de pequena escala
Lessa e Mendoza de Souza 2006;Chile;San Pedro de Atacama;Coyo Oriente;578613.59;;;7462916.16;2450;Atacamenhos;HM;1430;70;M;4;125;15;15;;0;;15;;;13;;0;2;;0;;;0;;0;0;;0;;;;;0;;;0;;;;;;;;;;;;;0;;;;0;0;;0;0;0;;0;;;;;;;;;;;;1;;0;0;1;;;0;0;0;0;0;;;;;;0;0;0;0;0;Tribo;;Desértico;Oases;agricultura de pequena escala
Lessa e Mendoza de Souza 2006;Chile;San Pedro de Atacama;Coyo Oriente;578613.59;;;7462916.16;2450;Atacamenhos;HM;1430;70;F;4;101;10;10;;0;;9;;;5;;0;4;;0;;;0;;0;0;;0;;;;;1;;;0;;;;;;;;;;;;;0;;;;0;0;;0;0;0;;0;;;;;;;;;;;;1;;0;0;1;;;0;0;0;0;0;;;;;;0;0;0;0;0;Tribo;;Desértico;Oases;agricultura de pequena escala
Torres-Rouff e Costa 2006;Chile;San Pedro de Atacama;Toconal oriente;575922.00 ;;;7452929.00 ;2450;Atacamenhos;PIP;2150;1350;M;4;60;1;1;;0;;0;;;0;;0;0;;0;;;0;;1;0;;1;;;;;0;;;0;;;;;;;;;;;;;0;;;;0;0;;0;0;0;;0;;;;;;;;;;;;1;;0;0;0;;;0;0;0;0;0;;;;;;0;0;0;0;0;Tribo;permanente;Desértico;Oases;agricultura de pequena escala
Torres-Rouff e Costa 2006;Chile;San Pedro de Atacama;Coyo 3_Yaye_Quitor6_Catarpe4_5;575922.00 ;;;7452929.00 ;2450;Atacamenhos;PIT;950;550;M;4;128;34;34;;2;;22;;;17;;0;5;;0;;;0;16;11;5;;17;;;;;0;;;1;1;0;;;;;;;;;;;0;;;;0;0;;0;0;0;;0;;;;;;;;;;;;1;;0;0;0;;;0;0;0;0;0;;;;;;0;0;0;0;1;;;Desértico;Oases;agricultura de pequena escala
Torres-Rouff e Costa 2006;Chile;San Pedro de Atacama;Coyo 3_Yaye_Quitor6_Catarpe4_5;575922.00 ;;;7452929.00 ;2450;Atacamenhos;PIT;950;550;F;4;99;31;31;;0;;21;;;18;;0;3;;0;;;0;20;10;10;;21;;;;;0;;;1;0;1;;;;;;;;;;;0;;;;0;0;;0;0;0;;0;;;;;;;;;;;;1;;0;0;0;;;0;0;0;0;0;;;;;;0;0;0;0;1;;;Desértico;Oases;agricultura de pequena escala
Torres-Rouff e Costa 2006;Chile;San Pedro de Atacama;Coyo 3_Yaye_Quitor6_Catarpe4_5;575922.00 ;;;7452929.00 ;2450;Atacamenhos;PIT;950;550;Nid;2;22;1;1;;0;;0;;;0;;0;0;;0;;;0;0;0;0;;0;;;;;0;;;0;0;0;;;;;;;;;;;0;;;;0;0;;0;0;0;;0;;;;;;;;;;;;1;;0;0;0;;;0;0;0;0;0;;;;;;0;0;0;0;1;;;Desértico;Oases;agricultura de pequena escala
Torres-Rouff e Costa 2006;Chile;San Pedro de Atacama;Catarpe1_2;575922.00 ;;;7452929.00 ;2450;Atacamenhos;HT;550;418;M;4;143;5;5;;0;;4;;;2;;0;2;;0;;;0;2;1;1;;2;;;;;0;;;0;0;0;;;;;;;;;;;0;;;;0;0;;0;0;0;;0;;;;;;;;;;;;1;;0;0;0;;;0;0;0;0;0;;;;;;0;0;0;0;0;;;Desértico;Oases;agricultura de pequena escala
Torres-Rouff e Costa 2006;Chile;San Pedro de Atacama;Catarpe1_2;575922.00 ;;;7452929.00 ;2450;Atacamenhos;HT;550;418;F;4;63;2;2;;0;;1;;;1;;0;0;;0;;;0;0;0;0;;1;;;;;0;;;0;0;1;;;;;;;;;;;0;;;;0;0;;0;0;0;;0;;;;;;;;;;;;1;;0;0;0;;;0;0;0;0;0;;;;;;0;0;0;0;0;;;Desértico;Oases;agricultura de pequena escala
Pacheco e Retemal 2017;Chile;Tarapacá;Pica 8;463186.00;;;7733608.00;1395;Tarapacá phase;PIT;1050;670;M;4;29;4;4;;0;;5;;;3;;0;2;;0;;;0;0;0;0;;0;;;;;0;;;0;0;0;;;;;;;;;;;1;;;;0;0;;0;0;0;;0;;;;;;;;1;0;1;1;1;;0;0;0;;;0;0;0;0;0;;;;;;0;0;0;0;1;;;Desértico;Oases;
Pacheco e Retemal 2017;Chile;Tarapacá;Pica 8;463186.00;;;7733608.00;1395;Tarapacá phase;PIT;1050;670;F;4;38;2;2;;0;;1;;;0;;0;1;1;0;;;0;0;0;0;1;1;;;;;1;1;;0;0;0;;;;;;;;;;;0;;;;0;0;;0;0;0;;0;;;;2;1;;1;0;0;1;1;1;;0;0;0;;;0;0;0;0;0;;;;;;0;0;0;0;1;;;Desértico;Oases;
Tung 2007 e Tung 2012;Peru;Ayacucho;Conchopata;579248.86;;;8545412.33;2839;Pré-Wari Huarpa;PIP;1700;1350;M;4;1;1;1;;0;;0;;;0;0;0;0;0;0;;;0;0;0;0;0;1;;;;;1;0;1;0;0;0;;;;;;;;;;;0;0;0;0;0;0;;0;0;0;;0;;;;0;0;0;0;0;0;0;1;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;;;Frio de Montanha;Vale;
Tung 2007 e Tung 2012;Peru;Ayacucho;Conchopata;579248.86;;;8545412.33;2839;Pré-Wari Huarpa;PIP;1700;1350;F;5;4;2;2;;0;;0;;;0;0;0;0;0;0;;;0;0;0;0;0;0;;;;;0;0;0;0;0;0;;;;;;;;;9;;0;0;2;0;0;3;;0;2;1;;0;;;;0;0;0;0;0;0;0;0;0;;0;0;0;1;0;2;0;0;0;0;0;0;0;;0;0;0;0;0;0;;;Frio de Montanha;Vale;
Tung 2007 e Tung 2012;Peru;Ayacucho;Conchopata;579248.86;;;8545412.33;2839;Pré-Wari Huarpa;PIP;1700;1350;Nid;4;6;0;0;;0;;0;;;0;0;0;0;0;0;;;0;0;0;0;0;0;;;;;0;0;0;0;0;0;;;;;;;;;;;0;0;0;0;0;0;;0;0;0;;0;;;;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;;;Frio de Montanha;Vale;
Tung 2007, Tung 2012, Tung 2008;Peru;Ayacucho;Conchopata;579248.86;;;8545412.33;2839;Wari;HM;1300;1150;M;4;14;4;4;;0;;2;;;0;0;0;0;0;4;;;0;0;0;0;0;0;;;;;0;0;0;0;0;0;1;;;1;17;8;7;1;0;;0;0;0;0;0;0;;0;0;0;;0;;;;0;0;0;0;0;0;0;1;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;Estado;;Frio de Montanha;Vale;
Tung 2007 e Tung 2012;Peru;Ayacucho;Conchopata;579248.86;;;8545412.33;2839;Wari;HM;1300;1150;F;4;25;6;6;;0;;0;;;0;0;0;0;0;7;;;0;0;0;0;0;0;;;;;0;0;0;0;0;0;2;;;;;;;;0;;0;0;0;0;0;0;;0;0;0;;0;;;;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;Estado;;Frio de Montanha;Vale;
Tung 2007 e Tung 2012;Peru;Ayacucho;Conchopata;579248.86;;;8545412.33;2839;Wari;HM;1300;1150;Nid;4;5;0;0;;0;;0;;;0;0;0;0;0;0;;;0;0;0;0;0;0;;;;;0;0;0;0;0;0;0;;;;;;;;0;;0;0;0;0;0;0;0;4;3;3;1;0;2;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;Estado;;Frio de Montanha;Vale;
Tung 2007 e Tung 2012;Peru;Terras altas centrais;Conchopata;579248.86;;;8545412.33;2839;Wari;HM;1300;1150;Nid;3;0;0;0;;0;;0;;;0;0;0;0;0;0;;;0;0;0;0;0;0;;;;;0;0;0;0;0;0;0;;;;;;;;3885;62;10;9;8;6;0;0;0;4;3;3;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;0;Estado;;Frio de Montanha;Vale;
Tung 2007 e Tung 2012;Peru;Vale de Majes;Beringa;771511.57;;;8206300.40;477;Wari;HM;1300;1150;Nid;4;39;13;9;;3;;5;;;0;0;0;0;0;11;;;0;0;0;0;0;0;;;0;2;0;0;0;0;0;0;0;;;;;;;;5831;97;21;9;8;6;0;16;0;2;7;7;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;0;Estado;;Frio de Montanha;Vale;
Tung 2007 e Tung 2012;Peru;Vale de Majes;La Real;771511.57;;;8206300.40;477;Wari;HM;1300;1150;Nid;4;104;32;27;;3;;27;;;0;0;0;0;0;13;;;0;0;0;0;0;0;;;4;5;0;0;0;0;0;0;3;;;;;;;;124;21;3;3;5;1;0;8;0;3;0;1;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;0;Estado;;Frio de Montanha;Vale;
Tung 2008;Peru;Ayacucho;Huari-Monqachayoq;579248.86;;;8545412.33;2839;pós-Wari;PIT;930;520;M;4;18;12;12;19;9;14;11;8;3;0;0;0;0;0;9;4;5;0;0;0;0;0;11;5;6;5;6;0;0;0;0;0;0;2;2;0;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;1;;;Frio de Montanha;Vale;
Tung 2008;Peru;Ayacucho;Huari-Monqachayoq;579248.86;;;8545412.33;2839;pós-Wari;PIT;930;520;F;4;11;9;8;21;4;7;16;13;3;0;0;0;0;0;7;5;2;0;0;0;0;0;5;3;2;3;2;0;0;0;0;0;0;0;0;0;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;1;;;Frio de Montanha;Vale;
Kurin 2012;Peru;Andahuayalas;Turpo;664896.84 ;;;8475670.78;3206;Wari;HM;1300;1150;M;4;11;2;2;4;0;0;3;3;0;0;0;0;2;0;1;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kurin 2012;Peru;Andahuayalas;Turpo;664896.84 ;;;8475670.78;3206;Wari;HM;1300;1150;F;4;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kurin 2012;Peru;Andahuayalas;Turpo;664896.84 ;;;8475670.78;3206;Wari;HM;1300;1150;Nid;4;0;0;0;0;0;0;0;;;0;0;0;0;0;NA;;;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;;;;;;330;12;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;Estado;;Frio de Montanha;Colina;Agricutura
Kurin 2012;Peru;Andahuayalas;Pucullu;676574.28;;;8496364.15;3006;Quechua;PIT;950;400;M;4;15;12;0;15;0;5;11;11;0;0;0;0;0;0;2;1;1;0;0;0;0;0;7;3;4;5;2;0;0;0;0;0;0;0;0;0;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;;;Frio de Montanha;Colina;Agricutura
Kurin 2012;Peru;Andahuayalas;Pucullu;676574.28;;;8496364.15;3006;Quechua;PIT;950;400;F;4;10;5;0;12;0;0;2;2;0;0;0;0;0;0;8;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;;;Frio de Montanha;Colina;Agricutura
Kurin 2012;Peru;Andahuayalas;Ranracancha;652068.68;;;8503043.89;3416;Chanka;PIT;950;400;M;4;19;11;0;22;0;9;13;8;5;0;0;0;0;0;5;5;0;0;0;0;0;0;11;8;3;6;5;0;0;0;0;0;0;1;1;0;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;;;Frio de Montanha;Colina;Agricutura
Kurin 2012;Peru;Andahuayalas;Ranracancha;652068.68;;;8503043.89;3416;Chanka;PIT;950;400;F;4;17;11;0;9;0;4;4;2;2;0;0;0;0;0;4;3;1;0;0;0;0;0;4;4;0;3;1;0;0;0;0;0;0;0;0;0;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;;;Frio de Montanha;Colina;Agricutura
Kurin 2012;Peru;Andahuayalas;Ranracancha;652068.68;;;8503043.89;3416;Chanka;PIT;950;400;Nid;4;1;1;0;0;1;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;;;Frio de Montanha;Colina;Agricutura
Kurin 2012;Peru;Andahuayalas;Cachi;650047.00;;;8477059.00;319;Chanka;PIT;950;400;M;3;63;36;0;43;0;21;24;17;7;0;0;0;0;0;10;10;0;0;0;0;0;0;25;13;12;13;12;0;0;0;0;0;0;4;3;1;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;;;;Frio de Montanha;Vale;Agricutura
Kurin 2012;Peru;Andahuayalas;Cachi;650047.00;;;8477059.00;319;Chanka;PIT;950;400;F;3;72;45;0;54;0;38;27;15;12;0;0;0;0;0;11;4;7;0;0;0;0;0;34;20;14;17;17;0;0;0;0;0;0;16;15;1;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;;;;Frio de Montanha;Vale;Agricutura
Kurin 2012;Peru;Andahuayalas;Cachi;650047.00;;;8477059.00;319;Chanka;PIT;950;400;Nid;3;27;3;0;2;0;5;4;1;3;0;0;0;0;0;1;0;1;0;0;0;0;0;2;1;1;1;1;0;0;0;0;0;0;0;0;0;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;;;;Frio de Montanha;Vale;Agricutura
Kurin 2012;Peru;Andahuayalas;Natividad Museum collection;659135.65;;;8478409.38;3049;Chanka;PIT;950;400;M;3;16;11;0;6;0;3;2;1;1;0;0;0;0;0;3;1;2;0;0;0;0;0;3;3;0;1;2;0;0;0;0;0;0;1;1;0;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;;;;Frio de Montanha;Vale;Agricutura
Kurin 2012;Peru;Andahuayalas;Natividad Museum collection;659135.65;;;8478409.38;3049;Chanka;PIT;950;400;F;3;3;3;1;1;2;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;1;1;0;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;;;;Frio de Montanha;Vale;Agricutura
Sacaffidi e Tung 2020;Peru;Vale de Majes;Uraca;759998.72;;;8204907.90;1173;Wari inicial;PIP_HM;1650;1200;M;4;65;52;48;132;5;7;67;67;0;17;2;0;3;0;21;18;3;3;2;0;0;0;22;22;0;0;0;3;0;0;0;0;0;15;15;0;1;;;;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;1;1;1;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;0;Estado;;;Vale;Agricutura
Sacaffidi e Tung 2020;Peru;Vale de Majes;Uraca;759998.72;;;8204907.90;1173;Wari inicial;PIP_HM;1650;1200;F;3;34;15;15;26;0;0;14;14;0;6;0;0;1;0;8;8;0;0;1;0;0;0;1;1;0;0;0;1;0;0;0;0;0;1;1;0;0;;;;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;1;1;1;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;0;Estado;;;Vale;Agricutura
Pecheckinna e Delgado 2006;Peru;Vale de Lurín;Villa El Salvador XII;287513.00;;;8649832.00;115;Villa El Salvador XII;PIP;2050;1850;M;3;30;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;NA;32;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1112;18;16;0;0;;0;70;84;0;NA;NA;0;0;0;NA;;Desértico;Costa;NA
Pecheckinna e Delgado 2006;Peru;Vale de Lurín;Villa El Salvador XII;287513.00;;;8649832.00;115;Villa El Salvador XII;PIP;2050;1850;F;3;31;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;NA;27;8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1315;14;19;0;0;0;0;196;170;0;NA;NA;0;0;0;NA;;Desértico;Costa;NA
